"id","nombre","año","mes","día","hour","minute","sube","baja","queda","descrp"
"9","san andres","2016","02","06","18","48","2.0","","35.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","06","18","48","5.0","","104.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","07","13","53","","","26.0","Redistribución de Potencia Nubosidad en C. PFV Luz del Norte "
"9","san andres","2016","02","07","13","53","","","31.0","Redistribución de Potencia Nubosidad en C. PFV Luz del Norte "
"19","luz del norte","2016","02","07","13","53","","","85.0","Redistribución de Potencia Nubosidad en C. PFV Luz del Norte "
"8","diego de almagro","2016","02","07","15","15","","3.0","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
"9","san andres","2016","02","07","15","15","","1.0","30.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","07","15","15","","2.0","83.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","07","15","42","","2.0","18.0","Redistribución de Potencia Mayor carga eólica de C. Taltal. -42 MW"
"9","san andres","2016","02","07","15","42","","2.0","28.0","Redistribución de Potencia Mayor carga eólica de C. Taltal. -42 MW"
"19","luz del norte","2016","02","07","15","42","","6.0","77.0","Redistribución de Potencia Mayor carga eólica de C. Taltal. -42 MW"
"8","diego de almagro","2016","02","07","16","22","1.0","","19.0","Redistribución de Potencia Menor carga eólica de C. Taltal. 20 MW"
"9","san andres","2016","02","07","16","22","3.0","","31.0","Redistribución de Potencia Menor carga eólica de C. Taltal. 20 MW"
"19","luz del norte","2016","02","07","16","22","7.0","","84.0","Redistribución de Potencia Menor carga eólica de C. Taltal. 20 MW"
"8","diego de almagro","2016","02","07","17","34","1.0","","20.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  201 MVA a 28 °C con Sol  flujo N>S. "
"9","san andres","2016","02","07","17","34","2.0","","33.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  201 MVA a 28 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","07","17","34","5.0","","89.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  201 MVA a 28 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","07","18","2","3.0","","23.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"9","san andres","2016","02","07","18","2","4.0","","37.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"19","luz del norte","2016","02","07","18","2","11.0","","100.0","Prorrata por Control TX Línea 220 kV San Andrés - Cardones  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","08","10","23","","","17.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés"
"19","luz del norte","2016","02","08","10","23","","7.0","114.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  222 MVA a 25 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","08","10","55","","","17.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés"
"19","luz del norte","2016","02","08","10","55","","7.0","107.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","08","11","10","2.0","","19.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. aumenta recurso solar"
"19","luz del norte","2016","02","08","11","10","","19.0","88.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
"8","diego de almagro","2016","02","08","12","0","","","19.0","Central sin variación por Línea 220 kV C. Pinto - San Andrés"
"19","luz del norte","2016","02","08","12","0","","3.0","85.0","Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
