"año","mes","día","total_baja","descrp"
2016,2,17,68,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,17,68,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  170 MVA a 32 °C con Sol  flujo N>S. "
2016,2,17,68,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  . "
2016,2,17,68,"Redistribución de Potencia  -30 MW"
2016,2,17,68,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,18,16,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,18,16,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,18,16,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,18,16,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,18,16,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,16,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,16,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,18,16,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,18,16,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,49,"Central sin variación por Línea 220 kV San Andrés - Cardones"
2016,2,19,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,19,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,19,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,19,49,"Redistribución de Potencia Mayor carga Eólica C.PE Taltal -10 MW"
2016,2,19,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,19,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,19,49,"Redistribución de Potencia Mayor carga eólica C.PE Taltal -15 MW"
2016,2,19,49,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  170 MVA a 32 °C con Sol  flujo N>S. "
2016,2,19,49,"Prorrata por Control TX Líneas 220 kV Las Palmas - Los Vilos 1 y 2  363 MVA a 25 °C con Sol  flujo N>S. "
2016,2,19,49,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,49,"Redistribución de Potencia Pe. Taltal mayor disponibilidad eólica -25 MW"
2016,2,19,49,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,49,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,19,49,"Central sin variación por Líneas 220 kV Las Palmas - Los Vilos 1 y 2"
2016,2,20,34,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  222 MVA a 25 °C con Sol  flujo N>S. "
2016,2,20,34,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  235 MVA a 23 °C con Sol  flujo N>S. "
2016,2,20,34,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,20,34,"Redistribución de Potencia  -15 MW"
2016,2,20,34,"Prorrata por Control TX Línea 220 kV San Andrés - Cardones  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,20,34,"Redistribución de Potencia Redistribución ´por C. PE Taltal con mayor carga eólica. -23 MW"
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  229 MVA a 24 °C con Sol  flujo N>S. "
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  216 MVA a 26 °C con Sol  flujo N>S. "
2016,2,21,71,"Redistribución de Potencia Por SDCF 6547-48-49-56/2016  54 MW"
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  209 MVA a 27 °C con Sol  flujo N>S. "
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  202 MVA a 28 °C con Sol  flujo N>S. "
2016,2,21,71,"Redistribución de Potencia Aumento carga eólica C.PE Taltal -10 MW"
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,21,71,"Redistribución de Potencia Menor carga eólica C.PE Talta 25 MW"
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  179 MVA a 31 °C con Sol  flujo N>S. "
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  179 MVA a 31 °C con Sol  flujo N>S. "
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  179 MVA a 31 °C con Sol  flujo N>S. "
2016,2,21,71,"Redistribución de Potencia Aumento de carga eólica en PE Taltal -22 MW"
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  187 MVA a 30 °C con Sol  flujo N>S. "
2016,2,21,71,"Prorrata por Control TX Línea 220 kV C. Pinto - San Andrés  194 MVA a 29 °C con Sol  flujo N>S. "
2016,2,21,71,"Redistribución de Potencia  -43 MW"
